Province,2020_02_10_Confirmed,2020_02_10_Dead,2020_05_31_Confirmed,2020_05_31_Dead,2020_10_19_Confirmed,2020_10_19_Dead,2020_11_28_Confirmed,2020_11_28_Dead,2021_10_09_Confirmed,2021_10_09_Dead,2021_12_28_Confirmed,2021_12_28_Dead,2022_03_05_Confirmed,2022_03_05_Dead,2022_06_18_Confirmed,2022_06_18_Dead,2022_12_29_Confirmed,2022_12_29_Dead
上海,337,3,670,7,1234,7,1322,7,2644,7,3048,7,4475,7,63152,595,64978,595
云南,174,2,180,2,214,2,217,2,1491,2,1803,2,1966,2,2157,2,5007,2
内蒙古,75,1,220,1,303,1,320,1,420,1,1186,1,1630,1,2073,1,8237,1
北京,416,8,600,9,945,9,950,9,1126,9,1208,9,1504,9,3644,9,25249,13
台湾,39,1,440,7,573,7,639,7,16283,845,16931,850,20717,853,3190787,4868,8498195,14722
吉林,93,2,155,2,157,2,157,2,577,3,589,3,629,3,40293,5,40481,5
四川,537,3,590,3,767,3,801,3,1212,3,1309,3,1490,3,2362,3,11315,5
天津,135,3,200,3,275,3,299,3,492,3,564,3,1136,3,1985,3,2627,3
宁夏,71,0,75,0,75,0,75,0,77,0,122,0,122,0,122,0,238,0
安徽,986,5,990,6,991,6,992,6,1008,6,1009,6,1013,6,1065,6,1699,6
山东,751,6,790,7,848,7,849,7,947,7,1038,7,1144,7,2738,7,4564,8
山西,133,0,210,0,216,0,220,0,260,0,265,0,286,0,423,0,5006,0
广东,1349,7,1590,8,1943,8,1988,8,3193,8,3427,8,5033,8,7361,8,55674,8
广西,250,2,250,2,260,2,263,2,301,2,593,2,1159,2,1649,2,2431,2
新疆,70,2,80,3,980,3,980,3,981,3,981,3,996,3,1008,3,2632,3
江苏,631,0,655,0,674,0,680,0,1600,0,1624,0,1781,0,2236,0,3796,0
江西,934,1,930,1,935,1,935,1,937,1,959,1,959,1,1383,1,1547,1
河北,318,5,360,6,373,6,373,6,1319,7,1458,7,1482,7,2007,7,2839,7
河南,1271,19,1270,22,1286,22,1289,22,1543,22,1641,22,2677,22,3183,22,8692,23
浙江,1205,1,1268,1,1288,1,1293,1,1451,1,2006,1,2275,1,3147,1,5858,1
海南,168,10,170,6,171,3,171,2,190,5,190,6,191,2,288,8,10287,1
湖北,66337,2727,68130,4510,68143,4512,68148,4512,68299,4512,68316,4512,68377,4512,68400,4512,68862,4512
湖南,1015,4,1018,4,1020,4,1020,4,1189,4,1216,4,1234,4,1398,4,2442,4
澳门,10,0,45,0,46,0,46,0,75,0,77,0,82,0,83,0,1142,6
甘肃,91,2,160,2,180,2,181,2,199,2,356,2,369,2,681,2,1561,2
福建,295,1,355,1,455,1,481,1,1290,1,1350,1,1568,1,3359,1,7326,1
西藏,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1522,0
贵州,145,2,145,2,147,2,147,2,147,2,159,2,162,2,185,2,1756,2
辽宁,130,1,280,2,284,2,289,2,457,2,793,2,1029,2,1713,2,3023,2
重庆,576,6,580,6,589,6,590,6,603,6,610,6,622,6,721,6,8542,7
陕西,245,2,310,3,463,3,497,3,675,3,1391,3,2826,3,3305,3,5462,3
青海,18,0,18,0,18,0,18,0,18,0,30,0,30,0,147,0,510,0
香港,93,2,1100,4,5364,107,6039,108,12253,213,12598,213,138145,1366,334215,9392,478020,11021
黑龙江,480,10,940,13,949,13,949,13,1711,13,2035,13,2092,13,2986,13,5389,13
